episode,return_mean,return_std,policy_loss,value_loss,entropy
50,-0.00,1.00,0.0019,0.0057,0.0336
100,0.00,1.00,-0.0006,0.0056,0.0334
150,0.00,1.00,-0.0002,0.0056,0.0332
200,0.00,1.00,-0.0011,0.0057,0.0332
250,0.00,1.00,0.0001,0.0049,0.0330
300,0.00,1.00,-0.0002,0.0057,0.0328
350,-0.00,1.00,-0.0001,0.0049,0.0325
400,-0.00,1.00,-0.0012,0.0054,0.0323
450,0.00,1.00,0.0004,0.0045,0.0320
500,0.00,1.00,-0.0015,0.0059,0.0317
550,-0.00,1.00,-0.0005,0.0058,0.0320
600,-0.00,1.00,-0.0001,0.0052,0.0315
650,-0.00,1.00,-0.0010,0.0058,0.0315
700,0.00,1.00,-0.0008,0.0054,0.0309
750,0.00,1.00,-0.0010,0.0049,0.0310
800,0.00,1.00,0.0003,0.0057,0.0307
850,0.00,1.00,-0.0012,0.0052,0.0300
900,0.00,1.00,-0.0008,0.0059,0.0301
950,-0.00,1.00,-0.0005,0.0052,0.0295
1000,-0.00,1.00,-0.0011,0.0059,0.0295
1050,0.00,1.00,-0.0008,0.0059,0.0288
1100,0.00,1.00,-0.0003,0.0057,0.0287
1150,0.00,1.00,0.0002,0.0048,0.0290
1200,0.00,1.00,0.0001,0.0056,0.0282
1250,0.00,1.00,0.0001,0.0049,0.0277
1300,0.00,1.00,-0.0004,0.0054,0.0279
1350,-0.00,1.00,-0.0010,0.0055,0.0277
1400,-0.00,1.00,-0.0002,0.0055,0.0268
1450,0.00,1.00,-0.0009,0.0055,0.0266
1500,0.00,1.00,-0.0008,0.0053,0.0273
1550,-0.00,1.00,-0.0015,0.0043,0.0269
1600,-0.00,1.00,-0.0017,0.0051,0.0256
1650,0.00,1.00,-0.0014,0.0049,0.0263
1700,-0.00,1.00,0.0011,0.0051,0.0259
1750,-0.00,1.00,-0.0002,0.0051,0.0255
1800,0.00,1.00,-0.0004,0.0055,0.0252
1850,-0.00,1.00,-0.0011,0.0040,0.0252
1900,-0.00,1.00,0.0035,0.0050,0.0250
1950,0.00,1.00,-0.0017,0.0049,0.0243
2000,0.00,1.00,-0.0015,0.0044,0.0241
2050,0.00,1.00,-0.0013,0.0053,0.0235
2100,0.00,1.00,0.0005,0.0052,0.0239
2150,-0.00,1.00,-0.0012,0.0051,0.0232
2200,0.00,1.00,0.0003,0.0051,0.0232
2250,0.00,1.00,-0.0013,0.0040,0.0230
2300,0.00,1.00,-0.0006,0.0055,0.0231
2350,0.00,1.00,-0.0007,0.0046,0.0229
2400,0.00,1.00,0.0019,0.0043,0.0233
2450,0.00,1.00,-0.0008,0.0041,0.0233
2500,0.00,1.00,-0.0014,0.0051,0.0233
2550,-0.00,1.00,0.0001,0.0047,0.0227
2600,0.00,1.00,0.0004,0.0050,0.0225
2650,-0.00,1.00,-0.0017,0.0049,0.0228
2700,0.00,1.00,-0.0002,0.0040,0.0228
2750,-0.00,1.00,-0.0010,0.0040,0.0226
2800,0.00,1.00,-0.0001,0.0041,0.0221
2850,-0.00,1.00,0.0007,0.0052,0.0221
2900,-0.00,1.00,0.0002,0.0046,0.0222
2950,0.00,1.00,-0.0000,0.0044,0.0221
3000,-0.00,1.00,0.0005,0.0052,0.0211
3050,-0.00,1.00,-0.0009,0.0035,0.0207
3100,0.00,1.00,-0.0001,0.0055,0.0207
3150,-0.00,1.00,-0.0006,0.0048,0.0200
3200,0.00,1.00,0.0003,0.0042,0.0204
3250,0.00,1.00,-0.0024,0.0038,0.0200
3300,0.00,1.00,0.0016,0.0052,0.0200
3350,0.00,1.00,0.0005,0.0054,0.0198
3400,-0.00,1.00,0.0005,0.0048,0.0202
3450,0.00,1.00,-0.0028,0.0041,0.0193
3500,0.00,1.00,-0.0007,0.0052,0.0198
3550,0.00,1.00,0.0002,0.0053,0.0197
3600,0.00,1.00,-0.0011,0.0053,0.0192
3650,-0.00,1.00,0.0025,0.0051,0.0194
3700,-0.00,1.00,0.0003,0.0047,0.0184
3750,-0.00,1.00,-0.0010,0.0052,0.0181
3800,0.00,1.00,0.0003,0.0057,0.0186
3850,0.00,1.00,-0.0013,0.0047,0.0180
3900,0.00,1.00,0.0006,0.0041,0.0176
3950,-0.00,1.00,0.0013,0.0051,0.0175
4000,0.00,1.00,0.0002,0.0044,0.0174
4050,-0.00,1.00,0.0003,0.0047,0.0177
4100,-0.00,1.00,0.0002,0.0040,0.0181
4150,-0.00,1.00,-0.0023,0.0050,0.0177
4200,-0.00,1.00,-0.0002,0.0049,0.0173
4250,0.00,1.00,0.0003,0.0047,0.0174
4300,0.00,1.00,0.0003,0.0047,0.0177
4350,-0.00,1.00,-0.0021,0.0048,0.0164
4400,-0.00,1.00,-0.0017,0.0048,0.0166
4450,0.00,1.00,-0.0008,0.0048,0.0166
4500,0.00,1.00,-0.0004,0.0048,0.0163
4550,0.00,1.00,-0.0000,0.0046,0.0165
4600,-0.00,1.00,0.0032,0.0049,0.0160
4650,-0.00,1.00,-0.0006,0.0052,0.0165
4700,0.00,1.00,-0.0001,0.0038,0.0165
4750,0.00,1.00,-0.0014,0.0040,0.0158
4800,-0.00,1.00,0.0014,0.0046,0.0162
4850,-0.00,1.00,-0.0004,0.0047,0.0153
4900,0.00,1.00,0.0005,0.0050,0.0154
4950,0.00,1.00,-0.0009,0.0045,0.0150
5000,-0.00,1.00,0.0009,0.0044,0.0152
5050,-0.00,1.00,0.0002,0.0049,0.0158
5100,-0.00,1.00,0.0018,0.0042,0.0155
5150,-0.00,1.00,0.0015,0.0051,0.0155
5200,0.00,1.00,-0.0003,0.0043,0.0149
5250,0.00,1.00,-0.0026,0.0040,0.0139
5300,0.00,1.00,0.0009,0.0039,0.0154
5350,-0.00,1.00,-0.0018,0.0050,0.0150
5400,0.00,1.00,-0.0012,0.0054,0.0138
5450,0.00,1.00,-0.0002,0.0049,0.0142
5500,-0.00,1.00,-0.0014,0.0049,0.0136
5550,-0.00,1.00,0.0003,0.0043,0.0140
5600,0.00,1.00,0.0001,0.0041,0.0133
5650,0.00,1.00,0.0008,0.0050,0.0131
5700,-0.00,1.00,-0.0014,0.0049,0.0129
5750,0.00,1.00,0.0003,0.0046,0.0128
5800,-0.00,1.00,-0.0004,0.0050,0.0126
5850,0.00,1.00,-0.0001,0.0049,0.0123
5900,-0.00,1.00,-0.0005,0.0049,0.0123
5950,0.00,1.00,-0.0002,0.0040,0.0128
6000,0.00,1.00,-0.0004,0.0045,0.0126
6050,-0.00,1.00,0.0002,0.0042,0.0130
6100,0.00,1.00,-0.0007,0.0040,0.0128
6150,0.00,1.00,0.0017,0.0052,0.0134
6200,0.00,1.00,-0.0005,0.0041,0.0134
6250,0.00,1.00,0.0015,0.0042,0.0132
6300,-0.00,1.00,-0.0017,0.0040,0.0124
6350,0.00,1.00,-0.0000,0.0036,0.0130
6400,-0.00,1.00,0.0008,0.0045,0.0129
6450,0.00,1.00,0.0004,0.0041,0.0124
6500,-0.00,1.00,-0.0017,0.0037,0.0126
6550,-0.00,1.00,-0.0001,0.0054,0.0122
6600,-0.00,1.00,-0.0001,0.0039,0.0118
6650,0.00,1.00,0.0007,0.0049,0.0118
6700,-0.00,1.00,0.0001,0.0048,0.0122
6750,-0.00,1.00,-0.0017,0.0044,0.0117
6800,-0.00,1.00,0.0008,0.0051,0.0116
6850,0.00,1.00,-0.0004,0.0047,0.0110
6900,0.00,1.00,-0.0001,0.0048,0.0109
6950,-0.00,1.00,0.0014,0.0048,0.0117
7000,0.00,1.00,0.0011,0.0043,0.0114
